Player,Season,Age,Team,League,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TOV
Milenko Tepic,2015-16,28,PAOK BC,HEBA A1,28,26.4,9.4,3.4,7.6,44.3,0.8,2.8,28.2,1.9,2.5,76.1,4.3,2.0,0.9,0.0,1.1
Milenko Tepic,2016-17,29,Orlandina Basket,Lega A,27,28.5,8.6,2.9,7.5,38.4,0.8,2.8,27.6,2.0,2.2,90.0,5.4,3.0,1.1,0.0,1.7
Milenko Tepic,2017-18,30,Enel Brindisi,Lega A,30,26.3,8.3,3.4,8.1,41.7,0.6,2.8,20.0,1.0,1.4,67.4,3.7,2.1,0.8,0.0,1.1
Milenko Tepic,2018-19,31,PAOK BC,HEBA A1,24,27.9,7.3,2.9,6.5,43.9,0.9,2.8,32.8,0.7,1.0,69.6,4.2,1.3,0.5,0.0,1.0
Milenko Tepic,2019-20,32,Iraklis BC,HEBA A1,13,26.1,4.7,1.8,5.7,31.1,0.8,2.8,30.6,0.3,0.5,66.7,4.7,1.9,0.2,0.0,0.8
Milenko Tepic,2020-21,34,KK Mega Bemax,Liga ABA,24,25.5,6.2,2.5,6.7,36.9,0.7,2.9,24.3,0.6,1.0,62.5,3.0,3.9,0.5,0.0,1.2
"Cerro, Adrian del",2019-20,17,Gran Canaria II,Segunda FEB,10,14.4,2.1,0.9,2.3,39.1,0.2,0.7,28.6,0.1,0.2,50.0,1.7,0.4,0.6,0.0,0.9
"Cerro, Adrian del",2020-21,18,Gran Canaria II,Segunda FEB,16,9.0,1.7,0.7,1.5,45.8,0.1,0.4,33.3,0.2,0.3,60.0,0.9,0.2,0.5,0.1,0.6
"Cerro, Adrian del",2021-22,19,Gran Canaria II,Segunda FEB,22,20.6,4.8,1.9,4.2,45.7,0.1,1.0,14.3,0.9,1.4,61.3,4.8,0.9,1.2,0.0,1.3
"Cerro, Adrian del",2022-23,20,Gran Canaria II,Segunda FEB,22,23.8,7.8,3.3,7.0,47.1,0.5,1.7,26.3,0.7,1.4,51.6,4.6,1.1,0.9,0.5,1.5
"Cerro, Adrian del",2023-24,21,Gran Canaria II,Segunda FEB,2,23.0,6.0,2.5,5.0,50.0,0.0,0.5,0.0,1.0,1.0,100.0,4.0,,1.5,1.0,1.0
"Cerro, Adrian del",2024-25,22,Gran Canaria II,Segunda FEB,16,20.6,7.5,3.1,6.1,50.0,0.5,1.8,28.6,0.9,1.6,56.0,4.4,0.8,1.1,0.4,1.8
Adam Hrycaniuk,2020-21,36,Krajowa Grupa Spozywcza Arka Gdynia,P-OBL,27,23.0,9.5,3.5,7.3,48.2,0.0,0.0,0.0,2.5,3.4,73.6,6.5,1.4,0.7,0.1,2.1
Adam Hrycaniuk,2021-22,37,Krajowa Grupa Spozywcza Arka Gdynia,P-OBL,30,23.5,7.2,2.9,6.2,47.6,0.0,0.1,0.0,1.4,1.9,71.9,5.4,1.8,0.7,0.2,1.7
